,feature_set,training_rmse,test_rmse
0,artist,1.243392801232315,1.24335857533768
1,reviewauthor,1.2433453372291796,1.2433260842459468
2,releaseyear,1.235994353048806,1.2325570378007182
3,recordlabel,1.2429686960661306,1.2434467822553175
4,genre,1.242326347244276,1.242253158547574
5,danceability,1.2403624811168052,1.2409710470441895
6,energy,1.2408996348511496,1.2396277506004725
7,key,1.243496923174605,1.2431581308564663
8,loudness,1.2369677308868925,1.2374404178163496
9,speechiness,1.2435303521321517,1.2434486857642724
10,acousticness,1.2403696602551453,1.2399963868290764
11,instrumentalness,1.2389894862716466,1.2387573131256355
12,liveness,1.2435343862705004,1.243439303501652
13,valence,1.2422681208896402,1.240481166621775
14,tempo,1.2431951977873865,1.2415334046386923
15,danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,1.2330909558758993,1.2331258169788142
16,artist_reviewauthor_releaseyear_recordlabel_genre,1.23334143253254,1.2308633597315868
17,artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,1.2243365400313782,1.2212603516765965
